bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2017786,2180,HB199,4,Passed,2025-06-11,"Provides relative to proceedings in forma pauperis for prisoners (EN SEE FISC NOTE LF RV)","Provides relative to proceedings in forma pauperis for prisoners (EN SEE FISC NOTE LF RV)",0,,2025-06-11,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB199/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB199&sbi=y
2017771,2180,HB200,1,Introduced,2025-04-01,"Provides for membership of the executive committee of a recognized political party in East Baton Rouge Parish","Provides for membership of the executive committee of a recognized political party in East Baton Rouge Parish",1173,"House House and Governmental Affairs",2025-04-22,"Read by title, rules suspended, referred to the Committee on House and Governmental Affairs.",https://legiscan.com/LA/bill/HB200/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB200&sbi=y
2017850,2180,HB201,1,Introduced,2025-04-01,"Expands student eligibility for participation in the R.E.A.D. (Reading Enrichment and Academic Deliverables) program (EG +$1,700,000 GF EX See Note)","Expands student eligibility for participation in the R.E.A.D. (Reading Enrichment and Academic Deliverables) program (EG +$1,700,000 GF EX See Note)",1157,"House Appropriations",2025-04-24,"Read by title, ordered engrossed, recommitted to the Committee on Appropriations.",https://legiscan.com/LA/bill/HB201/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB201&sbi=y
2017881,2180,HB202,4,Passed,2025-06-08,"Provides for a privacy waiver relative to certain mental health information of postsecondary education students","Provides for a privacy waiver relative to certain mental health information of postsecondary education students",0,,2025-06-08,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB202/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB202&sbi=y
2017702,2180,HB203,2,Engrossed,2025-06-04,"Provides for the payment of extraordinary medical and dental expenses of firemen and law enforcement officers (EG INCREASE GF EX See Note)","Provides for the payment of extraordinary medical and dental expenses of firemen and law enforcement officers (EG INCREASE GF EX See Note)",1181,"Senate Finance",2025-06-04,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Finance.",https://legiscan.com/LA/bill/HB203/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB203&sbi=y
2017682,2180,HB204,4,Passed,2025-06-04,"Provides relative to the Department of Wildlife and Fisheries' annual duck stamps (EN SEE FISC NOTE SD RV)","Provides relative to the Department of Wildlife and Fisheries' annual duck stamps (EN SEE FISC NOTE SD RV)",0,,2025-06-04,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB204/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB204&sbi=y
2017913,2180,HB205,2,Engrossed,2025-04-29,"Provides for the operation of saltwater disposal wells in the parishes of Bienville, Bossier, Caddo, DeSoto, Red River, and Webster (EG +$111,002 SG EX See Note)","Provides for the operation of saltwater disposal wells in the parishes of Bienville, Bossier, Caddo, DeSoto, Red River, and Webster (EG +$111,002 SG EX See Note)",1189,"Senate Natural Resources",2025-04-30,"Read second time by title and referred to the Committee on Natural Resources.",https://legiscan.com/LA/bill/HB205/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB205&sbi=y
2017768,2180,HB206,5,Vetoed,2025-06-20,"Requires legislative authorization to give effect to certain actions regarding election procedures inconsistent with the Election Code","Requires legislative authorization to give effect to certain actions regarding election procedures inconsistent with the Election Code",0,,2025-06-20,"Vetoed by the Governor.",https://legiscan.com/LA/bill/HB206/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB206&sbi=y
2017790,2180,HB207,1,Introduced,2025-04-01,"Provides relative to who may attend an execution of a death sentence","Provides relative to who may attend an execution of a death sentence",1155,"House Administration of Criminal Justice",2025-04-14,"Read by title, under the rules, referred to the Committee on Administration of Criminal Justice.",https://legiscan.com/LA/bill/HB207/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB207&sbi=y
2017860,2180,HB208,4,Passed,2025-06-08,"Provides relative to eligibility for parole or diminution of sentence (EN SEE FISC NOTE GF EX)","Provides relative to eligibility for parole or diminution of sentence (EN SEE FISC NOTE GF EX)",0,,2025-06-08,"Effective date: 06/08/2025.",https://legiscan.com/LA/bill/HB208/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB208&sbi=y
2017686,2180,HB209,4,Passed,2025-06-11,"Provides relative to the financing structure for public works projects in Ascension Parish","Provides relative to the financing structure for public works projects in Ascension Parish",0,,2025-06-11,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB209/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB209&sbi=y
2017832,2180,HB210,4,Passed,2025-06-08,"Provides relative to retention and archiving of records in the state prescription monitoring program","Provides relative to retention and archiving of records in the state prescription monitoring program",0,,2025-06-08,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB210/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB210&sbi=y
2017931,2180,HB211,4,Passed,2025-06-08,"Modifies the definition of ""eligible transaction"" for purposes of the firearm safety device purchase tax credit (EN DECREASE GF RV See Note)","Modifies the definition of ""eligible transaction"" for purposes of the firearm safety device purchase tax credit (EN DECREASE GF RV See Note)",0,,2025-06-08,"Effective date: 06/08/2025.",https://legiscan.com/LA/bill/HB211/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB211&sbi=y
2017780,2180,HB212,4,Passed,2025-06-16,"Provides relative to container sizes for beverages of high alcohol content","Provides relative to container sizes for beverages of high alcohol content",0,,2025-06-16,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB212/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB212&sbi=y
2017776,2180,HB213,4,Passed,2025-06-08,"Authorizes a public school to sell and trade certain technology equipment","Authorizes a public school to sell and trade certain technology equipment",0,,2025-06-08,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB213/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB213&sbi=y
2017807,2180,HB214,4,Passed,2025-06-04,"Provides relative to revocation of probation (EN INCREASE GF EX See Note)","Provides relative to revocation of probation (EN INCREASE GF EX See Note)",0,,2025-06-04,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB214/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB214&sbi=y
2017917,2180,HB215,1,Introduced,2025-04-01,"Provides for exceptions to the abortion laws of this state relative to rape and certain sex offenses","Provides for exceptions to the abortion laws of this state relative to rape and certain sex offenses",0,,2025-06-03,"Involuntarily deferred in committee.",https://legiscan.com/LA/bill/HB215/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB215&sbi=y
2017690,2180,HB216,4,Passed,2025-06-08,"Provides for the broadcast and recordation of meetings of the Board of Ethics (EN INCREASE GF EX See Note)","Provides for the broadcast and recordation of meetings of the Board of Ethics (EN INCREASE GF EX See Note)",0,,2025-06-08,"Effective date: 01/01/2026.",https://legiscan.com/LA/bill/HB216/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB216&sbi=y
2017717,2180,HB217,1,Introduced,2025-04-01,"Provides for legislative continuances and extensions of time for legislators and legislative employees","Provides for legislative continuances and extensions of time for legislators and legislative employees",1165,"House Civil Law and Procedure",2025-04-14,"Read by title, under the rules, referred to the Committee on Civil Law and Procedure.",https://legiscan.com/LA/bill/HB217/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB217&sbi=y
2017727,2180,HB218,1,Introduced,2025-04-01,"Provides relative to the administration of the Cecil J. Picard Educational and Recreational Center and its rental rates and usage fees (EG INCREASE GF EX See Note)","Provides relative to the administration of the Cecil J. Picard Educational and Recreational Center and its rental rates and usage fees (EG INCREASE GF EX See Note)",1157,"House Appropriations",2025-04-30,"Read by title, amended, ordered engrossed, recommitted to the Committee on Appropriations.",https://legiscan.com/LA/bill/HB218/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB218&sbi=y
2017698,2180,HB219,4,Passed,2025-06-04,"Provides for deer sex identification requirements","Provides for deer sex identification requirements",0,,2025-06-04,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB219/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB219&sbi=y
2017802,2180,HB220,1,Introduced,2025-04-01,"Creates the crime of improper storage of a firearm (EG SEE FISC NOTE LF EX)","Creates the crime of improper storage of a firearm (EG SEE FISC NOTE LF EX)",0,,2025-05-22,"Read third time by title, amended, roll called on final passage, yeas 39, nays 46. Failed to pass.",https://legiscan.com/LA/bill/HB220/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB220&sbi=y
2017910,2180,HB221,1,Introduced,2025-04-01,"Provides relative to a motor vehicle inspection tax (OR +$8,333,410 SG RV See Note)","Provides relative to a motor vehicle inspection tax (OR +$8,333,410 SG RV See Note)",3695,"House Transportation, Highways and Public Works",2025-04-14,"Read by title, under the rules, referred to the Committee on Transportation, Highways and Public Works.",https://legiscan.com/LA/bill/HB221/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB221&sbi=y
2017856,2180,HB222,1,Introduced,2025-04-01,"Provides for the assessment of bank stocks for purposes of calculating ad valorem tax liability of certain banks (OR DECREASE LF RV See Note)","Provides for the assessment of bank stocks for purposes of calculating ad valorem tax liability of certain banks (OR DECREASE LF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB222/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB222&sbi=y
2017935,2180,HB223,2,Engrossed,2025-06-04,"Provides relative to compensation for parish board commissioners, election commissioners, and commissioners-in-charge (EG INCREASE GF EX See Note)","Provides relative to compensation for parish board commissioners, election commissioners, and commissioners-in-charge (EG INCREASE GF EX See Note)",1192,"Senate Governmental Affairs",2025-06-04,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Senate and Governmental Affairs.",https://legiscan.com/LA/bill/HB223/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB223&sbi=y
2017709,2180,HB224,1,Introduced,2025-04-01,"Decreases the annual premium tax on certain vehicle insurance policies (EG DECREASE GF RV See Note)","Decreases the annual premium tax on certain vehicle insurance policies (EG DECREASE GF RV See Note)",1157,"House Appropriations",2025-05-13,"Read by title, referred to the Committee on Appropriations.",https://legiscan.com/LA/bill/HB224/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB224&sbi=y
2017723,2180,HB225,1,Introduced,2025-04-01,"Authorizes public school personnel to conduct weapon screenings of students upon entry onto a school campus","Authorizes public school personnel to conduct weapon screenings of students upon entry onto a school campus",1160,"House Education",2025-04-14,"Read by title, under the rules, referred to the Committee on Education.",https://legiscan.com/LA/bill/HB225/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB225&sbi=y
2017713,2180,HB226,4,Passed,2025-06-08,"Provides for appropriation of certain monies in the East Baton Rouge Parish Enhancement Fund (EN SEE FISC NOTE LF RV)","Provides for appropriation of certain monies in the East Baton Rouge Parish Enhancement Fund (EN SEE FISC NOTE LF RV)",0,,2025-06-08,"Effective date: 06/08/2025.",https://legiscan.com/LA/bill/HB226/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB226&sbi=y
2017939,2180,HB227,1,Introduced,2025-04-01,"Appropriates funds for payment of the consent judgment against the state in the suit entitled Rogers et al. v. Dantin et al.","Appropriates funds for payment of the consent judgment against the state in the suit entitled Rogers et al. v. Dantin et al.",1157,"House Appropriations",2025-04-14,"Read by title, under the rules, referred to the Committee on Appropriations.",https://legiscan.com/LA/bill/HB227/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB227&sbi=y
2017883,2180,HB228,1,Introduced,2025-04-01,"Provides for the purchase of certain lottery tickets through the internet (OR INCREASE SD RV See Note)","Provides for the purchase of certain lottery tickets through the internet (OR INCREASE SD RV See Note)",1155,"House Administration of Criminal Justice",2025-04-14,"Read by title, under the rules, referred to the Committee on Administration of Criminal Justice.",https://legiscan.com/LA/bill/HB228/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB228&sbi=y
2017799,2180,HB229,1,Introduced,2025-04-01,"Exempts certain foods and beverages from local sales tax (OR DECREASE LF RV See Note)","Exempts certain foods and beverages from local sales tax (OR DECREASE LF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB229/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB229&sbi=y
2017874,2180,HB230,1,Introduced,2025-04-01,"Establishes an income tax credit for motor vehicle manufacturers and motor vehicle manufacturing suppliers (OR DECREASE GF RV See Note)","Establishes an income tax credit for motor vehicle manufacturers and motor vehicle manufacturing suppliers (OR DECREASE GF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB230/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB230&sbi=y
2017925,2180,HB231,2,Engrossed,2025-06-04,"Extends health insurance coverage for the families of law enforcement officers and firemen killed in the line of duty (EG INCREASE LF EX See Note)","Extends health insurance coverage for the families of law enforcement officers and firemen killed in the line of duty (EG INCREASE LF EX See Note)",1181,"Senate Finance",2025-06-04,"Received in the Senate; read by title Rules suspended. Read second time by title and referred to the Committee on Finance.",https://legiscan.com/LA/bill/HB231/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB231&sbi=y
2017759,2180,HB232,1,Introduced,2025-04-01,"Eliminates the state inspection sticker requirement for certain vehicles (OR -$14,193,672 SG RV See Note)","Eliminates the state inspection sticker requirement for certain vehicles (OR -$14,193,672 SG RV See Note)",3695,"House Transportation, Highways and Public Works",2025-04-14,"Read by title, under the rules, referred to the Committee on Transportation, Highways and Public Works.",https://legiscan.com/LA/bill/HB232/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB232&sbi=y
